clave,descripcion
Arreglo Orquídeas|M,"{n} tallos de orquídea con sus flores alineadas en arco, dispuestos en un arreglo sobrio con hojas anchas y brillantes. Aporta una calma refinada que eleva el ambiente sin hacer ruido."
Arreglo Orquídeas|L,{n} tallos de orquídea con sus flores alineadas en arco forman un arreglo amplio y escalonado entre hojas anchas y brillantes. Una presencia elegante que preside cualquier espacio.
Arreglo Peonías|S,"{n} peonías de pétalo rizado, entre botones y flores abiertas, reunidas en un arreglo recogido y mullido. Un detalle tierno que llena de suavidad una mesa o una estantería."
Arreglo Peonías|M,"{n} peonías de pétalo rizado, entre botones y flores abiertas, reunidas en un arreglo mullido y generoso. Transmite una ternura abundante que se nota a primera vista."
Arreglo Peonías|L,"{n} peonías de pétalo rizado, entre botones y flores abiertas, forman un arreglo amplio que parece desbordarse. Un gran gesto de ternura, de los que llenan una habitación entera."
Arreglo Primavera Flores Silvestres|S,"{n} flores entre margaritas, ranúnculos y nomeolvides, dispuestas con aire suelto, como recién cogidas de un prado. Trae la frescura de una mañana al aire libre a cualquier rincón de casa."
Arreglo Tropical Anthurium|M,"{n} tallos de anthurium de espata lacada, acompañados de hojas tropicales anchas en una composición limpia y geométrica. Tiene un punto exótico y apasionado que no pasa desapercibido."
Arreglo Verano Lavanda Provenzal|S,"{n} espigas de lavanda secada al natural, finas y apretadas, reunidas en un arreglo compacto de estilo provenzal. Deja en casa un aroma suave y una sensación de campo tranquilo."
Aspidistra|L,"Aspidistra de hojas largas, lanceoladas y brillantes que brotan del sustrato formando una mata densa y erguida. Una planta noble y sufrida que da un toque clásico a cualquier estancia."
Begonia Maculata|M,"Begonia de hojas alargadas en forma de ala, salpicadas de lunares, sobre tallos articulados como pequeñas cañas. Tiene un encanto gráfico y un punto divertido que alegra cualquier estantería."
Bonsái Acer Palmatum|L,"Arce japonés en formato bonsái, con tronco fino y ramificado y hojas palmeadas y lobuladas, delicadas como pequeñas manos. Invita a pararse y observar cómo cambia con cada estación."
Bonsái Ficus Retusa|L,"Ficus retusa modelado como árbol en miniatura, de tronco grueso y sinuoso y copa densa de hojitas brillantes. Transmite paciencia y el gusto de cuidar algo que crece despacio."
Bonsái Olmo Chino|L,"Olmo chino formado como bonsái, de corteza jaspeada, ramas finas bien estructuradas y una copa ligera de hojas menudas y dentadas. Evoca la calma de un jardín oriental en un solo vistazo."
Bouquet de Novia Vintage|L,"{n} flores entre rosas, peonías y lisianthus, reunidas en un bouquet de aire antiguo, con pétalos suaves y un contorno algo desordenado. Tiene la delicadeza de un recuerdo guardado con cariño."
Boutonniere Claveles|Único,"{n} claveles pequeños de pétalo festoneado, atados en un prendido discreto con una hojita de acompañamiento. Un detalle sencillo que completa el traje con naturalidad y buen gusto."
Boutonniere Rosas|Único,"{n} rosas en botón, pequeñas y cerradas, recogidas con una hoja en un prendido fino y equilibrado. Aporta un punto romántico y cuidado que se nota en cada foto."
Buganvilla Maceta|L,"Buganvilla de ramas flexibles cubiertas de brácteas finas y translúcidas que rodean sus diminutas flores. Trae un aire mediterráneo, de patio encalado y tardes largas al sol."
Cactus Echinocactus|M,"Cactus de forma esférica y costillas marcadas, cubiertas de espinas que dibujan un patrón ordenado sobre su cuerpo. Una presencia rotunda y serena que da carácter a cualquier estante."
Cactus Opuntia|M,"Opuntia de palas planas y ovaladas que brotan unas de otras, salpicadas de pequeñas areolas con espinas finas. Tiene un aire desenfadado y resistente, con el encanto del paisaje seco."
Caja Rosas Preservadas Deluxe|L,"{n} rosas de pétalo aterciopelado, tratadas para mantenerse tersas, colocadas cabeza con cabeza dentro de la caja. Un gesto romántico y rotundo, de los que se quedan a la vista."
Calathea Medallion|M,"Calathea de hojas redondeadas con dibujos en forma de pluma, que se pliegan hacia arriba al caer la tarde. Su movimiento diario tiene algo hipnótico que llena de vida el salón."
Centro Funerario Vertical|L,"{n} flores entre lirios, gladiolos y crisantemos, compuestas en altura, con las espigas de gladiolo guiando la línea. Acompaña con discreción y dignidad en un momento de recogimiento."
Centro Invierno Ramas Nevadas|S,"{n} piezas entre ramas de pino, eucalipto y bayas con un toque escarchado, en materiales artificiales de aspecto natural. Crea en casa la quietud de un paisaje de invierno recién nevado."
Centro Navidad Pino Natural|M,"{n} ramas de pino natural, frescas y aromáticas, agrupadas en un centro bajo y tupido de aire invernal. Llena la casa de olor a bosque y de ganas de reunirse."
Centro Otoño Calabaza|M,"{n} flores entre crisantemos y bayas, con ramas de eucalipto, reunidas en torno a una calabaza decorativa. Trae la calidez de las tardes de otoño y el gusto por recogerse en casa."
Centro de Mesa Boda Eucalipto|S,"{n} tallos entre eucalipto de hoja redonda y flores sueltas, dispuestos bajos en un centro recogido y ligero. Aporta frescura natural y deja que la conversación fluya sin obstáculos."
Centro de Mesa Boda Eucalipto|M,"{n} tallos entre eucalipto de hoja redonda y flores sueltas, extendidos bajos y abundantes a lo largo de la mesa. Viste la celebración de frescura natural e invita a conversar sin prisa."
Centro de Mesa Boda Hortensias|S,"{n} hortensias de cabeza redonda y pétalos menudos, agrupadas en un centro bajo, compacto y recogido. Aporta un toque acogedor y luminoso sin quitar sitio ni vista a los invitados."
Centro de Mesa Boda Hortensias|M,"{n} hortensias de cabeza redonda y pétalos menudos, reunidas en un centro bajo, amplio y mullido. Crea un ambiente acogedor y luminoso que hace de la mesa un lugar para quedarse."
Centro de Mesa Boda Peonías|S,"{n} peonías de pétalos llenos, entre botones redondos y flores abiertas, compuestas en un centro bajo y recogido. Pone una nota romántica y un perfume suave en cada mesa."
Centro de Mesa Boda Peonías|M,"{n} peonías de pétalos llenos, entre botones redondos y flores abiertas, forman un centro bajo, amplio y abundante. Llena la mesa de romanticismo y de un perfume suave durante toda la velada."
Centro de Mesa Boda Rosas|S,"{n} rosas de cabeza abierta, recortadas a poca altura y apretadas en un centro redondo y recogido. Una armonía clásica y discreta que hace sentir a cada invitado bien recibido."
Centro de Mesa Boda Rosas|M,"{n} rosas de cabeza abierta, recortadas a poca altura, forman un centro amplio y lleno que deja ver cada pétalo. Aporta una armonía clásica y generosa que viste la mesa de fiesta."
Centro de Mesa Navideño|M,"{n} piezas entre ramas de pino, poinsetias y bayas, recreadas en materiales artificiales con mucho detalle. Viste la mesa con un aire festivo, cálido y familiar."
Centro de Mesa Orquídeas|S,"{n} tallos de orquídea con las flores escalonadas en arco, dispuestos en un centro bajo y recogido de líneas limpias. Transmite serenidad con una sobriedad que encaja en cualquier momento."
Centro de Mesa Orquídeas|M,{n} tallos de orquídea con las flores escalonadas en arco forman un centro amplio y equilibrado de líneas limpias. Una presencia elegante y serena que da carácter a la mesa sin recargarla.
Centro de Mesa Rosas y Eucalipto|S,"{n} rosas abiertas entre ramas de eucalipto de hoja redonda, en un centro bajo y recogido de contorno natural. Un toque romántico y fresco que alegra la mesa del día a día."
Centro de Mesa Rosas y Eucalipto|M,"{n} rosas abiertas entre ramas de eucalipto de hoja redonda forman un centro bajo, amplio y de contorno suelto. Mezcla romanticismo y frescura con un aire cuidado que invita a quedarse."
Centro de Mesa Tulipanes|S,"{n} tulipanes de copa lisa y tallo flexible, agrupados en un centro bajo donde cada flor se inclina a su aire. Tiene una alegría sencilla y fresca que despierta la casa."
Cesta Primavera Jacintos Aromáticos|M,"{n} jacintos de espiga compacta, cuajados de florecillas estrelladas, reunidos en una cesta de mimbre. Su perfume intenso llena la habitación y anuncia que llega el buen tiempo."
Cesta Verano Margaritas Campo|S,"{n} margaritas de campo, de pétalo fino y botón central marcado, sueltas en una cesta como recién recogidas. Huele a verano, a paseo por el campo y a tardes sin reloj."
Cesta de Flores Silvestres|S,"{n} flores entre margaritas, ranúnculos de pétalo en capas y diminutas nomeolvides, mezcladas en una cesta con aire de huerto. Tiene la gracia de lo espontáneo y alegra sin necesidad de más."
Cesta de Frutas y Flores|L,"{n} flores entre rosas, margaritas y gerberas, compartiendo cesta con fruta fresca de temporada colocada entre ellas. Un detalle generoso que se disfruta con la vista y con el paladar."
Cesta de Margaritas Silvestres|S,"{n} margaritas silvestres de pétalos finos alrededor de un corazón abombado, agrupadas con naturalidad en una cesta. Transmite sencillez y buen ánimo, como un saludo sincero."
Clemátide Trepadora Maceta|M,"Clemátide trepadora de tallos finos que se enroscan en su tutor, con flores grandes y abiertas en forma de estrella. Invita a verla subir y cubrir de flores una celosía o una barandilla."
Cojín Funerario Claveles|L,"{n} claveles de pétalo rizado, colocados muy juntos hasta formar un cojín mullido de superficie uniforme. Una ofrenda serena y delicada que habla de cariño y de recuerdo."
Cojín Funerario Rosas Blancas|L,"{n} rosas abiertas, apretadas unas junto a otras sobre un cojín de contorno suave, rematado con un filo de hojas. Transmite paz y gratitud con una sencillez llena de respeto."
Corona Adviento con Velas|M,"{n} ramas entre pino, eucalipto y bayas, trenzadas en una corona redonda que acoge sus velas. Acompaña las tardes de espera con una luz tranquila y un olor a bosque."
Corona Cabeza Flores Secas|S,"{n} flores secas entre lavanda, plumas de pampa y statice, entretejidas en una corona fina para el pelo. Tiene un aire bohemio y natural que acompaña con ligereza."
Corona Cabeza Novia Flores Silvestres|S,"{n} flores entre margaritas, nomeolvides y ranúnculos, entrelazadas alrededor de una corona ligera que se asienta sobre el cabello. Aporta frescura y un punto de cuento, espontáneo y lleno de luz."
Corona Cabeza Novia Rosas|S,"{n} rosas pequeñas de cabeza redonda, alternadas con hojitas finas en una corona delicada para el pelo. Enmarca el rostro con un romanticismo dulce y muy natural."
Corona Funeral Gladiolos|M,pendiente
Corona Funeral Gladiolos|L,"{n} tallos de gladiolo, largos y cuajados de flor, que se abren en abanico hasta cerrar un círculo amplio. Una despedida solemne y llena de respeto, que acompaña con calma."
Corona Fúnebre Claveles|M,"{n} claveles de pétalo festoneado, colocados muy juntos en un aro compacto con un borde de follaje. Un homenaje sincero y humilde, con la sobriedad de lo tradicional."
Corona Fúnebre Claveles|L,"{n} claveles de pétalo festoneado, colocados muy juntos, forman un aro amplio y abundante rodeado de follaje. Un tributo generoso que acompaña la despedida con respeto y cariño sincero."
Corona Fúnebre Clásica Rosas|M,"{n} rosas abiertas dispuestas en círculo, flor con flor, formando un anillo denso rodeado de hojas. Un tributo clásico que transmite amor y gratitud hacia quien se recuerda."
Corona Fúnebre Clásica Rosas|L,"{n} rosas abiertas, flor con flor, forman un anillo amplio y abundante rodeado de hojas. Una despedida de gran presencia, llena de amor y de gratitud hacia quien se recuerda."
Corona Fúnebre Lirios|M,"{n} tallos de lirio con sus flores abiertas en estrella, repartidos alrededor de la corona entre follaje. Su calma y su perfume suave acompañan un adiós lleno de paz."
Corona Fúnebre Lirios|L,"{n} tallos de lirio con sus flores abiertas en estrella forman una corona amplia y luminosa entre follaje. Un tributo sereno, cuya calma y perfume envuelven la despedida en paz."
Corona Fúnebre Lujo Especial|L,"{n} flores entre lirios, rosas y orquídeas, compuestas en una corona amplia con las orquídeas cayendo en cascada. Un tributo cuidado hasta el último detalle, que honra una vida con elegancia y calma."
Corona Otoño Hojas y Bayas|M,"{n} piezas entre hojas de otoño, bayas y ramitas de eucalipto, reproducidas en materiales artificiales y trenzadas en un aro. Recibe con la calidez de la estación de las hojas caídas."
Corsage Dama Orquídeas|Único,"{n} tallos de orquídea pequeños, con las flores agrupadas en un ramillete delicado que se lleva sobre el brazo. Aporta un toque refinado y discreto que acompaña cada gesto."
Crassula Ovata (Árbol Jade)|S,"Crassula de tronco grueso y ramificado, como un árbol en miniatura, con hojas carnosas, ovaladas y brillantes. Se asocia a la prosperidad y aporta una calma estable a cualquier rincón."
Cruz de Claveles y Lirios|XL,"{n} flores entre claveles y lirios, compuestas en forma de cruz, con los lirios abiertos en el centro y los claveles marcando los brazos. Expresa fe y recogimiento con una belleza sobria."
Cruz de Gladiolos Blancos|XL,"{n} flores de gladiolo, con sus espigas largas y escalonadas, dispuestas en forma de cruz sobre un fondo de follaje. Transmite recogimiento y una paz que acompaña con respeto."
Cruz de Rosas Blancas|XL,"{n} rosas abiertas colocadas muy juntas hasta dibujar una cruz de líneas limpias, con un contorno de hojas finas. Un símbolo de fe y de cariño, sobrio y lleno de dulzura."
Dalia|Único,"Dalia de flor amplia y redonda, con pétalos dispuestos en capas perfectas que se abren desde un centro apretado. Tiene una presencia generosa y alegre que llena un jarrón por sí sola."
Dieffenbachia|L,"Dieffenbachia de hojas grandes y ovaladas, jaspeadas con manchas claras, que brotan de un tallo robusto y erguido. Llena cualquier estancia de exuberancia, como un pedazo de selva."
Dracaena Marginata|L,"Dracaena de tallos finos y esbeltos rematados en penachos de hojas estrechas y arqueadas, como pequeñas palmeras. Da un toque moderno y ligero a los espacios de estilo limpio."
Echeveria Elegans|S,"Echeveria de hojas carnosas y redondeadas, apretadas en una roseta simétrica con un fino velo empolvado. Su geometría tranquila tiene algo de joya viva sobre la mesa."
Eucalipto Baby Blue|M,"Rama de eucalipto de hojas redondas escalonadas a lo largo del tallo, estabilizadas para mantenerse suaves y flexibles. Aporta un toque natural y sereno a un jarrón o una estantería."
Ficus Lyrata|XL,"Ficus lyrata de hojas grandes en forma de violín, con nervios marcados y superficie brillante, sobre un tronco erguido. Tiene una presencia escultórica que se convierte en protagonista del salón."
Filodendro Scandens|M,"Filodendro de tallos largos y colgantes con hojas en forma de corazón, finas y brillantes, que caen con soltura. Suaviza cualquier estantería y aporta una sensación de verdor fresco."
Fittonia|S,"Fittonia de porte bajo y compacto, con hojas pequeñas atravesadas por una red de nervios muy marcados. Su dibujo delicado invita a mirarla de cerca, como un mosaico vivo."
Geranio Maceta|M,"Geranio de hojas redondeadas y aterciopeladas, con ramilletes de flores agrupados en bolas sobre tallos firmes. Evoca balcones soleados y patios llenos de vida, con un encanto muy de siempre."
Guirnalda Flores Boda|XL,"Guirnalda de rosas, hortensias y ramas de eucalipto entrelazadas en una tira continua, frondosa y de caída suave. Viste el espacio con un aire romántico y natural que invita a celebrar."
Guirnalda de Eucalipto|M,"Guirnalda de ramas de eucalipto preservado, de hojas redondas superpuestas que forman una tira flexible y tupida. Aporta frescura vegetal y una textura suave que calma cualquier espacio."
Haworthia Fasciata|S,"Haworthia de hojas firmes y puntiagudas en roseta, marcadas por finas franjas en relieve que parecen dibujadas a mano. Una planta compacta y discreta que da carácter sin ocupar sitio."
Helecho de Boston|L,"Helecho de frondes largas y arqueadas, divididas en multitud de foliolos menudos que caen en cascada. Llena el ambiente de frescor y trae un aire de bosque húmedo a casa."
Iris|Único,"Iris de tallo erguido con una flor de pétalos caídos y otros alzados, finamente veteados cerca del centro. Tiene una elegancia sobria, algo artística, que luce sola en un jarrón fino."
Jazmín Maceta|M,"Jazmín de tallos trepadores y hojas pequeñas y brillantes, cubierto de flores estrelladas muy perfumadas. Su aroma dulce convierte cualquier rincón en una noche templada de verano."
Lavanda Angustifolia Maceta|M,"Lavanda de tallos finos rematados en espigas de flor menuda, sobre una mata de hojas estrechas y aromáticas. Trae el olor del campo provenzal y una calma que se respira."
Maranta Tricolor|M,Maranta de hojas ovaladas con dibujos que parecen pintados a pincel y que se pliegan por la noche. Tiene un punto curioso y lleno de vida que no deja de sorprender.
Menta Piperita Maceta|S,"Mata de menta piperita de tallos cuadrados y hojas dentadas, rugosas al tacto e intensamente aromáticas. Refresca la cocina y está siempre a mano para una infusión o un plato."
Monstera Deliciosa|L,"Monstera de hojas grandes y brillantes, recortadas con aberturas y perforaciones naturales que crecen a medida que madura. Transforma un salón con su porte relajado y su fuerza vegetal."
Orquídea Phalaenopsis|M,"Orquídea phalaenopsis de hojas anchas y carnosas, con una vara arqueada de flores planas que parecen mariposas en vuelo. Transmite delicadeza y equilibrio con una belleza tranquila."
Orquídea Phalaenopsis Gigante|L,"Orquídea phalaenopsis de gran porte, con varias varas altas cuajadas de flores amplias que se abren en cascada. Una presencia serena y majestuosa que llena de luz una recepción o un salón."
Pack Oficina Verde 3 Plantas|M,"Conjunto de potho de hojas colgantes, sansevieria de hojas erguidas como espadas y zamioculca de hojas lustrosas. Aporta vida al espacio de trabajo y hace las jornadas más amables."
Palma Funeraria Clásica|XL,"{n} flores dispuestas sobre un amplio abanico de hojas de palma, que se despliegan hacia arriba con porte recto y ordenado. Una muestra de respeto sencilla y digna, que acompaña en silencio."
Palma Funeraria Premium|L,"{n} flores agrupadas en el centro de un abanico generoso de hojas de palma, con follaje que envuelve la composición. Expresa un homenaje profundo con la serenidad de lo natural."
Palmera Areca|XL,"Palmera areca de tallos finos y agrupados, con frondes largas y arqueadas de foliolos estrechos. Da a la casa la ligereza de una brisa suave de costa."
Peperomia Caperata|S,"Peperomia de porte compacto con hojas acorazonadas y muy rugosas, y finas espigas florales que asoman como antenas. Tiene un encanto juguetón y cabe en cualquier rincón."
Petunias Colgantes Mixtas|M,"Petunias de porte colgante, con flores en forma de trompeta que cubren tallos largos y caen sobre el borde. Llenan de alegría un balcón o una ventana."
Pilea Peperomioides|S,"Pilea de hojas redondas como monedas, sostenidas por peciolos largos que salen de un tallo central. Tiene un aire gráfico y simpático, con fama de traer buena suerte."
Potho Dorado Colgante|M,"Potho de tallos largos y colgantes con hojas acorazonadas y brillantes, jaspeadas con vetas claras. Cae con gracia desde una estantería y llena de vida cualquier rincón alto."
Protea King|Único,"Protea king de cabeza enorme en forma de cuenco, rodeada de brácteas puntiagudas y con un centro sedoso y mullido. Tiene un aire salvaje y escultórico, distinto a todo."
Ramo 100 Rosas Rojas Premium|L,"{n} rosas de tallo largo y cabeza firme, reunidas en un ramo enorme y compacto donde las flores forman una cúpula. Una declaración de amor rotunda, de las que no admiten dudas."
Ramo Bienvenida Nuevo Hogar|M,"{n} flores entre girasoles, gerberas y margaritas, combinadas en un ramo alegre de corolas abiertas y redondas. Trae luz y buen ánimo a una casa que empieza a llenarse de historias."
Ramo Blanco Pureza|M,"{n} flores entre rosas, lirios y lisianthus, en un ramo de líneas suaves donde los lirios abiertos marcan el centro. Transmite calma y una belleza limpia que habla con suavidad."
Ramo Corporativo Sobrio|L,"{n} flores entre lirios, rosas y orquídeas, compuestas en un ramo de líneas rectas y follaje contenido. Proyecta seriedad y cuidado, y habla bien de quien lo envía."
Ramo Dama Honor Lirios|M,"{n} tallos de lirio con flores abiertas y botones por abrir, recogidos en un ramo ligero y fácil de llevar. Acompaña con frescura y deja todo el protagonismo a la sonrisa."
Ramo Día de la Madre Lirios|L,"{n} tallos de lirio de flor amplia y perfumada, con botones alargados que se irán abriendo, reunidos en un ramo generoso. Un agradecimiento hondo, lleno de ternura y de reconocimiento."
Ramo Día de la Madre Rosas|L,"{n} rosas de pétalo suave, entre flores abiertas y botones, recogidas en un ramo redondo y mullido con hojas finas. Dice gracias con dulzura, como un abrazo que se queda en casa."
Ramo Día de la Madre Tulipanes|L,"{n} tulipanes de copa lisa y hojas largas, reunidos en un ramo alto donde cada tallo se curva a su manera. Transmite cariño sencillo y una alegría fresca que ilumina la casa."
Ramo Enhorabuena Graduación|L,"{n} flores entre girasoles, gerberas y rosas, combinadas en un ramo vistoso con los girasoles asomando por encima. Celebra el esfuerzo con energía y orgullo, como un aplauso hecho de flores."
Ramo Exótico Strelitzia|L,"{n} tallos de strelitzia con sus flores en forma de pico de pájaro, acompañados de hojas anchas y alargadas. Tiene un aire tropical y audaz que sorprende y da que hablar."
Ramo Funerario Económico|M,"{n} flores entre claveles, crisantemos y espigas de gladiolo, recogidas en un ramo sencillo y bien compensado. Acompaña con respeto y cercanía, con la sencillez de un gesto sincero."
Ramo Gracias Tulipanes Mix|M,"{n} tulipanes de variedades mezcladas, de copa cerrada y tallo firme, agrupados en un ramo alegre y desenfadado. Un gracias luminoso que se entiende a la primera."
Ramo Mejórate Pronto|M,"{n} flores entre gerberas, margaritas y tulipanes, reunidas en un ramo redondo de flores abiertas y animadas. Levanta el ánimo y llena la habitación de energía y buenos deseos."
Ramo Mimosa Amarilla|M,"{n} ramas de mimosa cuajadas de pompones diminutos y esponjosos, con su follaje fino y plumoso. Huele a final del invierno y trae una luz suave que alegra cualquier mesa."
Ramo Nacimiento Bebé Azul|M,"{n} flores entre hortensias, lisianthus y rosas pequeñas, reunidas en un ramo suave y redondeado de textura mullida. Da la bienvenida con ternura y una alegría tranquila."
Ramo Nacimiento Bebé Neutro|M,"{n} flores entre gerberas, rosas y lisianthus, en un ramo ligero con las gerberas abiertas como pequeños soles. Celebra una vida nueva con dulzura y mucha luz."
Ramo de Rosas Nacimiento Bebé|M,"{n} rosas de botón menudo y pétalo delicado, recogidas en un ramo compacto y redondeado con hojas suaves. Transmite una ternura recién estrenada, dulce y llena de promesas."
Ramo Otoño Tonos Cálidos|M,"{n} flores entre girasoles, crisantemos y rosas, mezcladas en un ramo frondoso con hojas y texturas de otoño. Tiene el abrigo de una tarde templada, de esas que reconfortan."
Ramo Pascua Lirios|L,"{n} tallos de lirio de flor amplia, con pétalos abiertos en estrella y estambres bien visibles, en un ramo esbelto. Evoca renovación y esperanza con una belleza limpia y tranquila."
Ramo Primavera Narcisos|M,"{n} narcisos de corona acampanada rodeada de pétalos en estrella, reunidos en un ramo fresco y ligero. Tiene el optimismo de la primera flor de la temporada."
Ramo Primavera Tulipanes Mix|M,"{n} tulipanes mezclados, de copa abierta y cerrada, agrupados con sus hojas largas en un ramo suelto. Contagia una alegría sencilla que recuerda a un mercado de flores al aire libre."
Ramo San Valentín Corazón|L,"{n} rosas apretadas en forma de corazón, con las cabezas a la misma altura y un borde de follaje alrededor. Habla de amor sin rodeos, con un gesto tan claro como tierno."
Ramo San Valentín Rosas|XL,"{n} rosas de tallo largo, de botón firme y pétalo aterciopelado, reunidas en un ramo alto y generoso. Expresa un amor intenso con la elegancia de lo clásico."
Ramo Verano Girasoles|L,"{n} girasoles de cabeza amplia y centro marcado, con sus hojas anchas, reunidos en un ramo abierto y lleno de luz. Contagia optimismo y trae el calor del sol a cualquier habitación."
Ramo de Anémonas|S,"{n} anémonas de pétalo sedoso y corazón aterciopelado, recogidas en un ramillete sencillo de tallos finos. Un detalle poético y delicado para decir algo bonito sin hacer ruido."
Ramo de Anémonas|M,"{n} anémonas de pétalo sedoso y corazón aterciopelado, reunidas en un ramo ligero y redondeado de tallos finos. Tiene algo poético y delicado que atrapa la mirada con suavidad."
Ramo de Anémonas|L,"{n} anémonas de pétalo sedoso y corazón aterciopelado forman un ramo amplio y lleno, con sus tallos finos en movimiento. Un gran gesto de delicadeza, pura poesía para un momento especial."
Ramo de Astromelias|S,"{n} astromelias de pétalos finamente moteados, con aire de lirio, recogidas en un ramillete sencillo y alegre. Un detalle amistoso y cercano, perfecto para acordarse de alguien sin motivo."
Ramo de Astromelias|M,"{n} astromelias de pétalos finamente moteados, con aire de lirio, reunidas en un ramo redondo y frondoso. Transmite amistad y cercanía, con una alegría natural fácil de compartir."
Ramo de Astromelias|L,"{n} astromelias de pétalos finamente moteados forman un ramo amplio y frondoso, con varias flores abiertas en cada tallo. Un gran gesto de cariño que celebra una amistad de las que duran."
Ramo de Azucenas|S,"{n} azucenas en forma de trompeta, con pétalos carnosos y estambres largos, recogidas en un ramillete sencillo. Su perfume envolvente lleva serenidad a cualquier rincón con muy poco."
Ramo de Azucenas|M,"{n} azucenas en forma de trompeta, con pétalos carnosos y estambres largos, reunidas en un ramo esbelto. Su perfume envolvente y su porte noble llenan la estancia de serenidad."
Ramo de Azucenas|L,"{n} azucenas en forma de trompeta, con pétalos carnosos y estambres largos, forman un ramo amplio y abundante. Un gesto de gran presencia, cuyo perfume envuelve todo el espacio con calma."
Ramo de Calas|S,"{n} calas de espata lisa y enrollada, sobre tallos largos y limpios, reunidas en un ramillete sencillo. Una elegancia moderna y serena que se luce sola en un jarrón."
Ramo de Calas|M,"{n} calas de espata lisa y enrollada, sobre tallos largos y limpios, agrupadas en un ramo de líneas puras. Aporta una elegancia moderna y serena que no necesita adornos."
Ramo de Calas|L,"{n} calas de espata lisa y enrollada forman un ramo amplio y escultural, con sus tallos largos y limpios. Un gesto de gran elegancia que se impone con calma donde se coloque."
Ramo de Claveles|S,"{n} claveles de pétalo rizado y borde festoneado, con sus tallos firmes, recogidos en un ramillete sencillo. Un detalle honesto y cariñoso, de los que alegran un día cualquiera."
Ramo de Claveles|M,"{n} claveles de pétalo rizado y borde festoneado, con sus tallos firmes y hojas estrechas, en un ramo redondo. Transmite un cariño honesto y alegre, de los que no pasan de moda."
Ramo de Claveles|L,"{n} claveles de pétalo rizado y borde festoneado forman un ramo amplio y lleno entre tallos firmes y hojas estrechas. Un gran gesto de cariño, alegre y sincero, que no pasa desapercibido."
Ramo de Crisantemos|S,"{n} crisantemos de flor redonda y pétalos apretados en capas, recogidos en un ramillete sencillo con su follaje dentado. Una belleza tranquila y constante que se agradece en el día a día."
Ramo de Crisantemos|M,"{n} crisantemos de flor redonda y pétalos apretados en capas, reunidos en un ramo compacto con su follaje dentado. Aporta calma y constancia, una belleza sencilla que se agradece."
Ramo de Crisantemos|L,"{n} crisantemos de flor redonda y pétalos apretados en capas forman un ramo amplio y abundante entre follaje dentado. Un gesto sereno y generoso, de presencia tranquila y firme."
Ramo de Delphinium|S,"{n} tallos de delphinium con espigas altas cuajadas de florecillas, recogidos en un ramillete sencillo y esbelto. Un detalle ligero, con aire de jardín inglés, que eleva cualquier rincón."
Ramo de Delphinium|M,"{n} tallos de delphinium con espigas altas cuajadas de florecillas, dispuestos en un ramo esbelto y aireado. Tiene una ligereza casi de jardín inglés que llena de frescura la estancia."
Ramo de Delphinium|L,"{n} tallos de delphinium con espigas altas cuajadas de florecillas forman un ramo amplio y vertical, lleno de movimiento. Un gran gesto con todo el aire de un jardín inglés en flor."
Ramo de Flores Secas Vintage|M,"{n} flores secas entre plumas de pampa, espigas de lavanda y statice, reunidas en un ramo de texturas suaves. Tiene un encanto nostálgico y cálido que viste la casa con naturalidad."
